id	char_start	char_end	label
PMID:0	644	651	SPECIES
PMID:0	656	661	SPECIES
PMID:0	644	651	SPECIES
PMID:0	656	661	SPECIES
PMID:0	644	651	SPECIES
PMID:0	644	651	SPECIES
PMID:0	69	72	SPECIES
PMID:0	4068	4072	SPECIES
PMID:0	656	661	SPECIES
PMID:0	4068	4072	SPECIES
PMID:0	4068	4072	SPECIES
PMID:0	644	649	SPECIES
PMID:0	644	651	SPECIES
PMID:0	656	661	SPECIES
PMID:0	644	651	SPECIES
PMID:0	644	649	SPECIES
PMID:0	4068	4072	SPECIES
PMID:0	644	651	SPECIES
PMID:0	4068	4072	SPECIES
PMID:0	4068	4072	SPECIES
PMID:0	4068	4072	SPECIES
PMID:0	4068	4072	SPECIES
PMID:0	656	661	SPECIES
PMID:0	69	72	SPECIES
PMID:0	69	72	SPECIES
PMID:0	644	649	SPECIES
PMID:0	644	651	SPECIES
PMID:0	644	649	SPECIES
PMID:0	644	649	SPECIES
PMID:0	644	649	SPECIES
PMID:0	644	651	SPECIES
PMID:0	25023	25028	SPECIES
PMID:0	656	661	SPECIES
PMID:0	656	661	SPECIES
PMID:0	25847	25852	SPECIES
PMID:0	26139	26145	SPECIES
PMID:0	656	661	SPECIES
PMID:0	656	661	SPECIES
PMID:0	26139	26145	SPECIES
PMID:0	644	651	SPECIES
PMID:0	26139	26145	SPECIES
PMID:0	644	651	SPECIES
PMID:0	26139	26145	SPECIES
PMID:0	644	651	SPECIES
PMID:0	656	661	SPECIES
PMID:0	656	661	SPECIES
PMID:0	26662	26667	SPECIES
PMID:0	26139	26145	SPECIES
PMID:0	26768	26772	SPECIES
PMID:0	644	649	SPECIES
PMID:0	644	649	SPECIES
PMID:0	644	649	SPECIES
PMID:0	644	649	SPECIES
PMID:0	25847	25852	SPECIES
PMID:0	644	649	SPECIES
PMID:0	25847	25852	SPECIES
PMID:1	20	25	SPECIES
PMID:1	20	25	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	20	25	SPECIES
PMID:1	3034	3042	SPECIES
PMID:1	3116	3120	SPECIES
PMID:1	3602	3607	SPECIES
PMID:1	20	25	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	5740	5746	SPECIES
PMID:1	9312	9316	SPECIES
PMID:1	9312	9316	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	9507	9513	SPECIES
PMID:1	9312	9316	SPECIES
PMID:1	9507	9513	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	20	25	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	9312	9316	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	20	25	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	3034	3042	SPECIES
PMID:1	9312	9316	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	5740	5746	SPECIES
PMID:1	9312	9316	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	5740	5746	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	9312	9316	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	20	25	SPECIES
PMID:1	20	25	SPECIES
PMID:1	3034	3042	SPECIES
PMID:1	3602	3607	SPECIES
PMID:1	3116	3120	SPECIES
PMID:1	3116	3120	SPECIES
PMID:1	2499	2504	SPECIES
PMID:1	20	25	SPECIES
PMID:1	3116	3120	SPECIES
PMID:1	31000	31004	SPECIES
PMID:1	31009	31015	SPECIES
PMID:1	3034	3042	SPECIES
PMID:1	5740	5746	SPECIES
